;title;urlToImage;url
32;Review Xiaomi Smart Band 8 | A Mi Band 8 chinesa é boa?;https://t.ctcdn.com.br/HuAkJgiVDwDIXusX2CZl56u47fk=/1400x788/smart/i738842.jpeg;https://canaltech.com.br/produto/xiaomi/band-8/analise/
33;ARM anuncia Cortex-X4 e novas GPUs para celulares de 2024;https://t.ctcdn.com.br/qvSU_Byq5yaOvE53gFhIkyc-UZg=/1400x788/smart/i626928.jpeg;https://canaltech.com.br/hardware/arm-cortex-x4-a720-a520-immortalis-mali-g720-g620-lancamento-ficha-tecnica-251104/
34;;https://conteudo.imguol.com.br/c/noticias/cb/2023/02/26/logotipo-da-openai-desenvolvedora-do-chatbot-chatgpt-1677436764080_v2_615x300.jpg;https://www.uol.com.br/tilt/noticias/redacao/2023/06/07/chatgpt-inventa-lavagem-de-dinheiro-e-e-alvo-de-1-acao-na-justica-nos-eua.htm
35;Brasil terá déficit de 530 mil profissionais de tecnologia até 2025, mostra estudo do Google;https://s2-g1.glbimg.com/GCa3hvNPEEGjWnHacbfoLaaBR2w=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2023/K/C/7rVhLaSBKHbCfcuXBt2w/patricia-soulcode-foto-celso-tavares-g1-5-de-110-.jpg;https://g1.globo.com/trabalho-e-carreira/noticia/2023/05/31/brasil-tera-deficit-de-530-mil-profissionais-de-tecnologia-ate-2025-mostra-estudo-do-google.ghtml
36;'Muitos empregos vão desaparecer com IA', diz criador do ChatGPT em evento no Brasil;https://s2-g1.glbimg.com/tzmI_Loh3CKE87P08A5QytQ_Y_4=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2023/A/G/Ik8k5gR5mk0u2bomBfQg/img-1443.jpg;https://g1.globo.com/tecnologia/noticia/2023/05/19/muitos-empregos-vao-desaparecer-com-ia-diz-criador-do-chatgpt-em-evento-no-brasil.ghtml
37;Agência dos EUA autoriza empresa de Elon Musk a realizar estudos para implantes cerebrais em humanos;https://s2-g1.glbimg.com/TFqOvp1qna4Hvzjw6FgQ0VVsDsM=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2023/2/T/sDDv1uSFOzRj4kFra5Ww/2023-05-04t153340z-385422229-rc289y91x447-rtrmadp-3-neuralink-musk-research-conflicts.jpg;https://g1.globo.com/tecnologia/noticia/2023/05/25/agencia-dos-eua-autoriza-empresa-de-elon-musk-a-realizar-estudos-para-implantes-cerebrais-em-humanos.ghtml
38;A 'fórmula do sucesso' usada por recrutadores do Google;https://s2-g1.glbimg.com/ERVw0niQgOf5IX33BLE2P8VyOwk=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2023/1/V/RDv6UtS8SH9D49kqVCyA/google-gettyimages-bbc.jpg;https://g1.globo.com/trabalho-e-carreira/noticia/2023/05/24/a-formula-do-sucesso-usada-por-recrutadores-do-google.ghtml
39;China barra compra de chips da americana Micron para projetos de infraestrutura crítica;https://s2-g1.glbimg.com/-WjZ9q3m5iQbXTSFuAcacp7C9DA=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2023/5/4/tTlQ6lTGCMtMi7ApD7Aw/hr-dei-photo-recap-pride-1-.jpg;https://g1.globo.com/tecnologia/noticia/2023/05/22/china-barra-compra-de-chips-da-americana-micron-para-projetos-de-infraestrutura-critica.ghtml
40;Inteligência artificial: redes sociais apagam provas de crimes de guerra, aponta investigação;https://s2-g1.glbimg.com/hZTzqob2iVVGYG4i-X-WxLPY3FM=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2023/N/Y/PVKY7cSJS3lYUlPhDuhg/thumbnail-image001-9-.jpg;https://g1.globo.com/tecnologia/noticia/2023/06/01/inteligencia-artificial-redes-sociais-apagam-provas-de-crimes-de-guerra-aponta-investigacao.ghtml
41;A multa bilionária ao Facebook por descuido com dados de usuários;https://s2-g1.glbimg.com/9mxEx90R7Ajfx5g3lS_OYqRtI6s=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2021/B/2/c4YAIYSr2klQFMT5Ad7A/mark-zuckerberg-meta.jpg;https://g1.globo.com/mundo/noticia/2023/05/22/a-multa-bilionaria-ao-facebook-por-descuido-com-dados-de-usuarios.ghtml
42;O apelo do criador do ChatGPT ao governo dos EUA por regulação da inteligência artificial;https://s2-g1.glbimg.com/S9R4CtxanEFLY5iWgUxyc8yWb_0=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2023/T/B/wUDAadQAm45UKjBdQkYQ/sam-altman.png;https://g1.globo.com/tecnologia/noticia/2023/05/16/o-apelo-do-criador-do-chatgpt-ao-governo-dos-eua-por-regulacao-da-inteligencia-artificial.ghtml
43;As 3 etapas da inteligência artificial e por que a 3ª pode ser fatal;https://s2-g1.glbimg.com/ZWSY6bDzxZZ4S3jDczq-5StcFw4=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2023/s/F/0CwgWqRtaOmwmJUakBSg/b70999b0-fe4d-11ed-92cc-b3a9bf1f67e9.jpg;https://g1.globo.com/tecnologia/noticia/2023/05/29/as-3-etapas-da-inteligencia-artificial-e-por-que-a-3a-pode-ser-fatal.ghtml
44;A polêmica sobre regulação dos apps que retocam fotos;https://s2-g1.glbimg.com/5PNNJ3JqXmIcmDoQkRo3LdN_p3w=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2023/q/N/aYcR7sRn6X028AcVCLiQ/d267f470-f31e-11ed-a142-ab0e42bfd9c3.jpg;https://g1.globo.com/tecnologia/noticia/2023/05/15/a-polemica-sobre-regulacao-dos-apps-que-retocam-fotos.ghtml
45;Países tentam regulamentar 'filtros de beleza' nas redes;https://s2-g1.glbimg.com/dt8XpGIDTGfDAgM6S4S6ieyz6oc=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2022/n/i/Gia05QRPiI0BTRUCL3Cw/pexels-shotpot-6338389.jpg;https://g1.globo.com/mundo/noticia/2023/05/23/paises-tentam-regulamentar-filtros-de-beleza-nas-redes.ghtml
46;Microsoft é multada em US$ 20 milhões por coletar dados de crianças em jogos online do Xbox;https://s2-g1.glbimg.com/1x6DdU6qWTB-JSXHMhi3HKoqn6U=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2023/n/8/b0IsBDRDywYMCiKjjRYg/sam-pak-x6qffklwyoq-unsplash.jpg;https://g1.globo.com/tecnologia/noticia/2023/06/06/microsoft-e-multada-em-us-20-milhoes-por-coletar-dados-de-criancas-em-jogos-online-do-xbox.ghtml
47;A falta crônica de cadáveres que prejudica formação de médicos no Brasil;https://s2-g1.glbimg.com/1OuSW5YIlT59DyC1BQ6ASrZPY_4=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2023/g/0/A3uUZ0Su6uwz9CJs6A2A/thumbnail-image001-1-.jpg;https://g1.globo.com/educacao/noticia/2023/06/08/a-falta-cronica-de-cadaveres-que-prejudica-formacao-de-medicos-no-brasil.ghtml
48;"Casal de Campinas descobre cancelamento de reserva em hotel pelo Hurb ao fazer check-in na Alemanha; entenda o caso";https://s2-g1.glbimg.com/Jmbjd6EcuVycES_aQ6fXMbhHG5o=/1200x/smart/filters:cover():strip_icc()/s02.video.glbimg.com/x720/11653341.jpg;https://g1.globo.com/sp/campinas-regiao/noticia/2023/05/28/casal-de-campinas-descobre-cancelamento-de-reserva-em-hotel-pelo-hurb-ao-fazer-check-in-na-alemanha-entenda-o-caso.ghtml
49;Cursos de pós-graduação da PUC-Campinas oferecem mestrado, doutorado e especializações;https://s2-g1.glbimg.com/n4SQh80DfgG7MjahQYMjKOift4I=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2023/R/w/yfFgmRQgGWYxyINRBNDQ/1.png;https://g1.globo.com/sp/campinas-regiao/especial-publicitario/puc-campinas/puc-campinas/noticia/2023/05/25/cursos-de-pos-graduacao-da-puc-campinas-oferecem-mestrado-doutorado-e-especializacoes.ghtml
50;11ª Retail Conference registra crescimento de 25% na comparação com 2022;https://s2-g1.glbimg.com/iFYoiT-xA9CVzH7UVhiHjKjQxCY=/1200x/smart/filters:cover():strip_icc()/i.s3.glbimg.com/v1/AUTH_59edd422c0c84a879bd37670ae4f538a/internal_photos/bs/2023/Y/b/vIkoDbQe6Aqmiv1EXFGA/informe-g1-2-.png;https://g1.globo.com/sp/campinas-regiao/especial-publicitario/acic/noticia/2023/05/30/11a-retail-conference-registra-crescimento-de-25percent-na-comparacao-com-2022.ghtml
